"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/04/03 12:08:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ドリンク","ビール","00000000010:ﾌﾟﾚﾐｱﾑﾓﾙﾂ 小ｸﾞﾗｽ","","500","1","2026/04/03 12:08:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ドリンク","ビール","00000000010:ﾌﾟﾚﾐｱﾑﾓﾙﾂ 小ｸﾞﾗｽ","","500","1","2026/04/03 12:08:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ドリンク","ビール","00000000010:ﾌﾟﾚﾐｱﾑﾓﾙﾂ 小ｸﾞﾗｽ","","500","1","2026/04/03 12:08:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:04:17","2026/04/03 12:39:38","2","3000","2","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/04/03 12:04:17","20:配膳済"
"2026/04/03","金","2026/04/03 12:04:17","2026/04/03 12:39:38","2","3000","2","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/04/03 12:04:17","20:配膳済"
"2026/04/03","金","2026/04/03 12:07:09","2026/04/03 12:42:48","1","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/04/03 12:17:06","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000002484:豚しゃぶ定食","少なめx1","1200","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:20:50","2026/04/03 13:06:49","6","9950","6","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/04/03 12:20:50","20:配膳済"
"2026/04/03","金","2026/04/03 12:25:51","2026/04/03 12:59:30","2","2200","2","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/03 12:25:51","20:配膳済"
"2026/04/03","金","2026/04/03 12:25:51","2026/04/03 12:59:30","2","2200","2","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 大盛りx1","1100","1","2026/04/03 12:25:51","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:21","2026/04/03 13:00:02","2","2200","2","ランチ","ランチ","00000004027:とり天定食","ユーリンチー風x1 / 大盛りx1","1100","1","2026/04/03 12:27:59","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:21","2026/04/03 13:00:02","2","2200","2","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/03 12:27:59","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:01:42","3","3800","3","ランチ","ランチ","00000004034:穴子天丼定食","大盛りx1","1500","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:01:42","3","3800","3","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:01:42","3","3800","3","ランチ","ランチ","00000003135:チキン南蛮定食","少なめx1","1200","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:00:37","3","1500","1","ランチ","ランチ","00000004034:穴子天丼定食","大盛りx1","1500","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:01:42","3","2300","2","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:26:31","2026/04/03 13:01:42","3","2300","2","ランチ","ランチ","00000003135:チキン南蛮定食","少なめx1","1200","1","2026/04/03 12:26:31","20:配膳済"
"2026/04/03","金","2026/04/03 12:29:16","2026/04/03 13:12:20","1","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/04/03 12:29:16","20:配膳済"
"2026/04/03","金","2026/04/03 12:41:54","2026/04/03 13:21:17","3","3300","3","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 大盛りx1","1100","1","2026/04/03 12:41:54","20:配膳済"
"2026/04/03","金","2026/04/03 12:41:54","2026/04/03 13:21:17","3","3300","3","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 大盛りx1","1100","1","2026/04/03 12:41:54","20:配膳済"
"2026/04/03","金","2026/04/03 12:41:54","2026/04/03 13:21:17","3","3300","3","ランチ","ランチ","00000004027:とり天定食","ユーリンチー風x1 / 大盛りx1","1100","1","2026/04/03 12:41:54","20:配膳済"
"2026/04/03","金","2026/04/03 12:48:02","2026/04/03 13:05:31","1","1350","2","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/04/03 12:48:02","20:配膳済"
"2026/04/03","金","2026/04/03 12:48:02","2026/04/03 13:05:31","1","1350","2","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/04/03 12:48:02","20:配膳済"
"2026/04/03","金","2026/04/03 12:56:10","2026/04/03 13:29:21","3","8100","3","ランチ","ランチ","00000002565:うな重 松 定食","並盛x1","5500","1","2026/04/03 12:56:10","20:配膳済"
"2026/04/03","金","2026/04/03 12:56:10","2026/04/03 13:29:21","3","8100","3","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:56:10","20:配膳済"
"2026/04/03","金","2026/04/03 12:56:10","2026/04/03 13:29:21","3","8100","3","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 並盛x1","1100","1","2026/04/03 12:56:10","20:配膳済"
"2026/04/03","金","2026/04/03 13:01:20","2026/04/03 13:32:13","1","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/04/03 13:01:20","20:配膳済"
"2026/04/03","金","2026/04/03 13:29:10","2026/04/03 14:08:46","2","8800","2","ランチ","ランチ","00000002565:うな重 松 定食","並盛x1","5500","1","2026/04/03 13:29:10","20:配膳済"
"2026/04/03","金","2026/04/03 13:29:10","2026/04/03 14:08:46","2","8800","2","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/04/03 13:29:10","20:配膳済"
"2026/04/03","金","2026/04/03 16:14:36","2026/04/03 16:59:25","0","13000","2","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/03 16:14:36","20:配膳済"
"2026/04/03","金","2026/04/03 16:14:36","2026/04/03 16:59:25","0","13000","2","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/03 16:14:36","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","コース","コース","00000002618:麻布しきコース飲み放題","","11000","1","2026/04/03 17:22:13","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","コース","コース","00000002618:麻布しきコース飲み放題","","11000","1","2026/04/03 17:22:13","20:配膳済"
"2026/04/03","金","2026/04/03 17:22:13","2026/04/03 21:14:14","3","36300","6","コース","コース","00000002618:麻布しきコース飲み放題","","11000","1","2026/04/03 17:22:13","20:配膳済"
