"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ビール","","770","2026/02/16 17:33:23","1","20:配膳済","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","普通x1","700","2026/02/16 17:33:23","1","20:配膳済","00000003245:角ハイボール"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","お通し","","660","2026/02/16 17:33:23","1","20:配膳済","00000004006:お通し"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","お通し","","660","2026/02/16 17:33:23","1","20:配膳済","00000004006:お通し"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","おすすめ","","1210","2026/02/16 17:46:27","1","20:配膳済","00000004208:白子ポン酢"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","おすすめ","","330","2026/02/16 17:46:27","1","20:配膳済","00000003593:鰻ヒレ串"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","おすすめ","","330","2026/02/16 17:46:27","1","20:配膳済","00000003593:鰻ヒレ串"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","サラダ","","1000","2026/02/16 17:46:27","1","20:配膳済","00000003260:トマト玉ねぎ"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","おすすめ","","800","2026/02/16 17:46:27","1","20:配膳済","00000002645:海鮮パクチー春巻2本"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","日本酒","","1100","2026/02/16 17:46:27","1","20:配膳済","00000002262:貴"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","普通x1","700","2026/02/16 17:46:27","1","20:配膳済","00000003245:角ハイボール"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","普通x1","700","2026/02/16 18:07:15","1","20:配膳済","00000003245:角ハイボール"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","日本酒","","1100","2026/02/16 18:07:40","1","20:配膳済","00000002262:貴"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","鰻料理","","600","2026/02/16 18:10:53","1","20:配膳済","00000002558:肝焼き"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","鰻料理","","600","2026/02/16 18:10:53","1","20:配膳済","00000002558:肝焼き"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","普通x1","700","2026/02/16 18:25:13","1","20:配膳済","00000003245:角ハイボール"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","フード","サラダ","","1100","2026/02/16 18:36:00","1","20:配膳済","00000001075:チョレギサラダ"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","日本酒","","1100","2026/02/16 19:00:06","1","20:配膳済","00000002262:貴"
"No:202500100007286","2026/02/16","月","2026/02/16 17:33:23","2026/02/16 20:03:00","2","14860","19","ドリンク","ウイスキー","普通x1","700","2026/02/16 19:00:06","1","20:配膳済","00000003245:角ハイボール"
"No:202500100007287","2026/02/16","月","2026/02/16 17:37:04","2026/02/16 17:41:54","0","4180","3","ウーバーイーツ","鰻料理","","3430","2026/02/16 17:37:04","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007287","2026/02/16","月","2026/02/16 17:37:04","2026/02/16 17:41:54","0","4180","3","ウーバーイーツ","鰻料理","","750","2026/02/16 17:37:04","1","20:配膳済","00000004090:uber肝焼き"
