"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600100001072","2026/05/15","金","2026/05/15 20:45:10","2026/05/15 21:24:00","1","3260","4","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/05/15 20:48:42","20:配膳済"
"No:202600100001073","2026/05/16","土","2026/05/16 11:33:56","2026/05/16 11:45:50","1","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/05/16 11:33:56","20:配膳済"
"No:202600100001074","2026/05/16","土","2026/05/16 12:07:41","2026/05/16 13:04:05","0","1300","1","ロケットナウ","お弁当","00000003802:ロケット唐揚げ弁当","","1300","1","2026/05/16 12:07:41","20:配膳済"
"No:202600100001075","2026/05/16","土","2026/05/16 13:00:40","2026/05/16 13:21:24","1","1200","1","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/05/16 13:00:50","20:配膳済"
"No:202600100001076","2026/05/16","土","2026/05/16 13:09:16","2026/05/16 13:34:58","2","2350","3","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/05/16 13:10:31","20:配膳済"
"No:202600100001076","2026/05/16","土","2026/05/16 13:09:16","2026/05/16 13:34:58","2","2350","3","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/05/16 13:10:31","20:配膳済"
"No:202600100001076","2026/05/16","土","2026/05/16 13:09:16","2026/05/16 13:34:58","2","2350","3","ランチ","サイドメニュー","00000004041:生卵","","150","1","2026/05/16 13:10:47","20:配膳済"
"No:202600100001077","2026/05/16","土","2026/05/16 13:13:05","2026/05/16 13:36:06","1","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","1","2026/05/16 13:13:21","20:配膳済"
"No:202600100001078","2026/05/16","土","2026/05/16 13:13:40","2026/05/16 13:36:32","1","1800","1","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/05/16 13:15:36","20:配膳済"
"No:202600100001079","2026/05/16","土","2026/05/16 13:17:09","2026/05/16 13:39:53","2","3600","2","ランチ","ランチ","00000004030:お刺身定食","少なめx1","1800","1","2026/05/16 13:18:49","20:配膳済"
"No:202600100001079","2026/05/16","土","2026/05/16 13:17:09","2026/05/16 13:39:53","2","3600","2","ランチ","ランチ","00000004031:とんかつ定食","大盛りx1","1800","1","2026/05/16 13:18:49","20:配膳済"
"No:202600100001080","2026/05/16","土","2026/05/16 13:34:03","2026/05/16 14:48:29","4","11000","4","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/05/16 13:34:03","20:配膳済"
"No:202600100001080","2026/05/16","土","2026/05/16 13:34:03","2026/05/16 14:48:29","4","11000","4","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/05/16 13:34:03","20:配膳済"
