"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202500100007963","2026/03/15","日","2026/03/15 12:36:25","2026/03/15 13:11:01","2","2300","2","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 並盛x1","1100","1","2026/03/15 12:38:34","20:配膳済"
"No:202500100007963","2026/03/15","日","2026/03/15 12:36:25","2026/03/15 13:11:01","2","2300","2","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/03/15 12:38:34","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","ドリンク","ソフトドリンク","00000000047:コーラ","","550","1","2026/03/15 12:49:31","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","ドリンク","ソフトドリンク","00000003761:内臓美人茶","","660","1","2026/03/15 12:49:31","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","フード","揚げ物","00000000069:若鳥のうまから揚げ","","1100","1","2026/03/15 12:49:31","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","フード","揚げ物","00000000071:大和芋の磯辺揚","","1100","1","2026/03/15 12:49:31","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","ランチ","ランチ","00000004031:とんかつ定食","大盛りx1","1800","1","2026/03/15 12:51:25","20:配膳済"
"No:202500100007964","2026/03/15","日","2026/03/15 12:49:31","2026/03/15 13:45:03","2","6310","6","フード","揚げ物","00000003105:牡蠣フライ(2個)","","1100","1","2026/03/15 12:51:25","20:配膳済"
"No:202500100007965","2026/03/15","日","2026/03/15 12:56:44","2026/03/15 13:23:05","2","2600","2","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 大盛りx1","1100","1","2026/03/15 12:57:42","20:配膳済"
"No:202500100007965","2026/03/15","日","2026/03/15 12:56:44","2026/03/15 13:23:05","2","2600","2","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/15 12:57:42","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/03/15 12:57:33","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/15 13:07:07","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/15 13:07:07","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","フード","鰻料理","00000000288:ﾊｰﾌうなぎ白焼き","","3600","1","2026/03/15 13:07:07","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","フード","揚げ物","00000000192:タコの唐揚げ","","1100","1","2026/03/15 13:07:07","20:配膳済"
"No:202500100007966","2026/03/15","日","2026/03/15 12:56:52","2026/03/15 14:00:25","3","16190","8","フード","鰻料理","00000002558:肝焼き","","600","1","2026/03/15 13:07:07","20:配膳済"
