取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量,メモ
RB0120260605232945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E581BCACE0D45F2AB04A605E694405C,"ウイスキー","アードベック 10年",1600,4,
RB0120260605232945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E581BCACE0D45F2AB04A605E694405C,"NEW CLASSIC COCKTAIL","カルヴァドスモヒート",1500,1,
RB0120260605232945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E581BCACE0D45F2AB04A605E694405C,"NEW CLASSIC COCKTAIL","ベルガモットモスコミュール",1500,1,
RB0120260605231546000,2026/06/06,01:08:19,15930,17700,1448,0,15930,1448,0,15930,0,0,0,0,0,0,0,0,0,0,0,0,0,-1770,0,-1770,3,15,01:52:33,"6, 7, 8","橋本",3EEF1FBC731744A3A59E9BF8AE729260,"未設定","No charge",0,3,"工藤さん"
RB0120260605231546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3EEF1FBC731744A3A59E9BF8AE729260,"ウイスキー（ハイボール・ボトル・オリジナル）","ハウスハイボール",1200,3,
RB0120260605231546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3EEF1FBC731744A3A59E9BF8AE729260,"ジン","バレルエイジドジン",1800,2,
RB0120260605231546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3EEF1FBC731744A3A59E9BF8AE729260,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260605231546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3EEF1FBC731744A3A59E9BF8AE729260,"FRUITS COCKTAIL","ローズガーデン",1500,3,
RB0120260605231546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3EEF1FBC731744A3A59E9BF8AE729260,"FRUITS COCKTAIL","トロピカルヴェール",1500,3,
000120260606173427465,2026/06/06,17:36:19,1500,1500,136,0,1500,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00010737","橋本",CB639EE3B3D74D3BABD58F3C651B0EB7,"デザート","バースデープレート",1500,1,"玉利さんがバースデープレート支払い"
