取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"日本酒","大那【ましだやコレクション】","","",1430,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"串焼き","焼き鳥【もも】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"単品料理","揚げ餃子","","",550,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"串焼き","万能ネギのしゃぶ串","","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"串焼き","焼き鳥【ささみ】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"煮込み","煮込み【ホルモン】","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,2026/02/14,17:07:55,2026/02/14,19:31:57,7861,7861,714,0,7861,714,0,0,0,0,0,7861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,02:24:01,"T9",0001,"近澤幹人","未設定",00F3336ED5454A129A61B20D0E66996B,"アルコール","角ハイボール","メガ角ハイボール","",900,2,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"サワー","グレープフルーツサワー","グレフルサワー","",550,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"アルコール","緑茶ハイ","ノーマル","",495,2,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"単品料理","記憶に残るポテトサラダ","","",748,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"お通し","お通し","女性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"串焼き","豚しそ巻き","","",286,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"ビール","瓶ビール【赤星】","","",770,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"串焼き","紅生姜巻き","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"単品料理","ピリ辛メンマ","","",528,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"アルコール","抹茶ハイ","ノーマル","",605,1,0,0,-,0,"",0,0,0,0
HD0020260214171011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00F3336ED5454A129A61B20D0E66996B,"串焼き","焼き鳥【せせり】塩","","",308,2,0,0,-,0,"",0,0,0,0
