月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
8,20時台,31.0,22.096774193548388,31.0,23.0,0.9032258064516121,10
8,21時台,30.0,14.766666666666667,31.0,9.35483870967742,-5.411827956989248,11
8,22時以降,2.0,18.0,,,,12
9,11時前,1.0,1.0,3.0,1.6666666666666667,0.6666666666666667,0
9,11時台,9.0,17.88888888888889,28.0,17.0,-0.8888888888888893,1
9,12時台,9.0,25.77777777777778,28.0,24.107142857142858,-1.670634920634921,2
9,13時台,8.0,20.875,28.0,15.5,-5.375,3
9,14時台,8.0,15.875,28.0,11.25,-4.625,4
9,15時台,8.0,11.5,26.0,9.884615384615385,-1.615384615384615,5
9,16時台,8.0,10.5,27.0,9.481481481481481,-1.018518518518519,6
9,17時台,8.0,11.625,27.0,13.222222222222221,1.5972222222222214,7
9,18時台,8.0,21.625,27.0,24.22222222222222,2.5972222222222214,8
9,19時台,8.0,25.375,27.0,23.925925925925927,-1.4490740740740726,9
9,20時台,8.0,18.875,27.0,21.25925925925926,2.3842592592592595,10
9,21時台,8.0,14.75,27.0,8.037037037037036,-6.712962962962964,11
9,22時以降,1.0,1.0,,,,12
10,11時台,,,31.0,14.741935483870968,,1
10,12時台,,,31.0,24.451612903225808,,2
10,13時台,,,31.0,17.580645161290324,,3
10,14時台,,,31.0,12.096774193548388,,4
10,15時台,,,31.0,7.548387096774194,,5
10,16時台,,,29.0,8.586206896551724,,6
10,17時台,,,31.0,13.161290322580646,,7
10,18時台,,,31.0,24.225806451612904,,8
10,19時台,,,31.0,23.93548387096774,,9
10,20時台,,,31.0,21.483870967741936,,10
10,21時台,,,31.0,9.451612903225806,,11
11,11時前,,,1.0,2.0,,0
11,11時台,,,30.0,17.266666666666666,,1
11,12時台,,,30.0,23.033333333333335,,2
11,13時台,,,30.0,20.7,,3
11,14時台,,,30.0,13.633333333333333,,4
11,15時台,,,30.0,10.166666666666666,,5
11,16時台,,,30.0,10.8,,6
11,17時台,,,30.0,15.4,,7
11,18時台,,,30.0,23.666666666666668,,8
11,19時台,,,30.0,24.166666666666668,,9
11,20時台,,,30.0,20.6,,10
11,21時台,,,30.0,8.6,,11
11,22時以降,,,1.0,1.0,,12
12,11時前,,,1.0,1.0,,0
12,11時台,,,31.0,13.838709677419354,,1
12,12時台,,,31.0,21.483870967741936,,2
12,13時台,,,31.0,16.516129032258064,,3
12,14時台,,,30.0,12.966666666666667,,4
12,15時台,,,31.0,7.903225806451613,,5
12,16時台,,,30.0,8.766666666666667,,6
12,17時台,,,30.0,13.666666666666666,,7
12,18時台,,,30.0,22.2,,8
12,19時台,,,30.0,25.466666666666665,,9
12,20時台,,,30.0,19.533333333333335,,10
12,21時台,,,30.0,9.666666666666666,,11
