business_date,day_sales_total,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_category
2025/06/22,216986,86.15686274509804,2866.127941176471,2.264705882352941,34,高売上日
2025/06/23,138821,108.20588235294117,3711.3725490196075,2.235294117647059,17,低売上日
2025/06/24,136495,87.90757575757576,2917.890909090909,2.1363636363636362,22,低売上日
2025/06/25,159383,92.48863636363636,2925.1727272727276,2.3636363636363638,22,低売上日
2025/06/26,97038,116.49880952380953,2812.648809523809,2.4285714285714284,14,低売上日
2025/06/27,212977,92.87929292929293,2861.118686868687,2.3333333333333335,33,高売上日
2025/06/28,271712,93.03333333333333,2847.053875968992,2.3255813953488373,43,高売上日
2025/06/29,299774,101.43373983739838,3516.4024390243903,2.073170731707317,41,高売上日
2025/06/30,195828,102.11363636363636,3421.0651515151517,2.5,22,高売上日
2025/07/01,212728,106.60533333333333,3452.47,2.52,25,高売上日
2025/07/02,227898,106.27105263157895,3099.9929824561405,3.4210526315789473,19,高売上日
2025/07/03,163590,101.50733333333334,3068.96,2.16,25,低売上日
2025/07/04,197880,90.87916666666668,3063.592261904762,2.2857142857142856,28,高売上日
2025/07/05,240192,86.47350427350428,2566.189316239316,2.3846153846153846,39,高売上日
2025/07/06,292742,129.80809523809523,3156.4866233766234,2.5714285714285716,35,高売上日
2025/07/07,157104,81.17045454545455,3325.174242424242,2.1363636363636362,22,低売上日
2025/07/08,181438,94.56136363636364,3789.2098484848484,2.1818181818181817,22,低売上日
2025/07/09,185343,108.32348484848485,2991.4545454545455,2.772727272727273,22,低売上日
2025/07/10,141168,101.31960784313726,3470.4196078431373,2.6470588235294117,17,低売上日
2025/07/11,211079,91.76602564102564,2706.5673076923076,2.8076923076923075,26,高売上日
2025/07/12,289739,86.0858695652174,2924.3405797101445,2.1739130434782608,46,高売上日
2025/07/13,248773,83.21544715447155,2613.890243902439,2.3658536585365852,41,高売上日
2025/07/14,194841,105.74666666666667,3623.999642857143,2.7,20,高売上日
2025/07/15,183591,81.45666666666668,3896.8208333333337,2.3,20,低売上日
2025/07/16,102205,96.16777777777777,3367.027777777778,2.1333333333333333,15,低売上日
2025/07/17,151288,88.93968253968254,2906.6309523809523,2.4761904761904763,21,低売上日
2025/07/18,222099,96.60289855072465,3438.608695652174,2.9130434782608696,23,高売上日
2025/07/19,257396,90.16285714285713,3025.5,2.4285714285714284,35,高売上日
2025/07/20,346226,88.04931972789116,2997.741836734694,2.3877551020408165,49,高売上日
2025/07/21,153430,91.40942028985506,2936.731884057971,2.260869565217391,23,低売上日
2025/07/22,262113,91.05499999999999,4983.278333333334,1.95,20,高売上日
2025/07/23,169840,90.18076923076923,2963.903846153846,2.1538461538461537,26,低売上日
2025/07/24,125447,97.86666666666667,2923.3385416666665,2.5,16,低売上日
2025/07/25,303873,99.30757575757576,5063.535353535353,2.1515151515151514,33,高売上日
2025/07/26,279917,83.4734126984127,2889.2492063492064,2.3333333333333335,42,高売上日
2025/07/27,282788,84.58968253968253,3057.489285714286,2.261904761904762,42,高売上日
2025/07/28,132030,89.03333333333333,4290.02,2.4,15,低売上日
2025/07/29,248574,101.21770833333333,4025.785044642857,2.0625,32,高売上日
2025/07/30,121045,87.485,2890.791666666667,2.05,20,低売上日
2025/07/31,162508,101.57843137254902,2979.773669467787,3.235294117647059,17,低売上日
2025/08/01,178627,95.58623188405797,2898.2256728778466,2.739130434782609,23,低売上日
2025/08/02,203426,85.50959595959596,2940.9772727272725,2.212121212121212,33,高売上日
2025/08/03,272431,97.8029411764706,2931.874824929972,2.676470588235294,34,高売上日
2025/08/04,172991,75.43066666666667,2813.321333333333,2.4,25,低売上日
2025/08/05,208124,88.57469135802468,3424.4938271604938,2.2962962962962963,27,高売上日
2025/08/06,185402,88.77948717948718,3152.5929487179487,2.3461538461538463,26,低売上日
2025/08/07,176368,87.31333333333333,2562.275277777778,3.2,20,低売上日
2025/08/08,254440,94.07083333333333,4035.067361111111,2.5833333333333335,24,高売上日
2025/08/09,232119,92.48793103448276,3308.1793103448276,2.5172413793103448,29,高売上日
2025/08/10,176583,107.92348484848485,3419.409090909091,2.3636363636363638,22,低売上日
2025/08/11,211737,93.4588888888889,3009.983888888889,2.433333333333333,30,高売上日
2025/08/12,141516,74.7325,2903.1412499999997,2.6,20,低売上日
2025/08/13,187746,84.42440476190475,3090.2630952380955,2.107142857142857,28,低売上日
2025/08/14,207223,82.78846153846153,3197.7166666666667,2.423076923076923,26,高売上日
2025/08/15,169196,78.56604938271605,2796.561728395062,2.259259259259259,27,低売上日
2025/08/16,194463,86.73489583333334,2744.7604166666665,2.21875,32,高売上日
2025/08/17,235985,73.45142857142858,3066.754761904762,2.3142857142857145,35,高売上日
2025/08/18,203386,102.59933333333332,2670.3938095238095,2.92,25,高売上日
2025/08/19,151997,89.61111111111111,3024.6309523809523,2.4285714285714284,21,低売上日
2025/08/20,187115,92.1375,3228.3222222222225,2.4166666666666665,24,低売上日
2025/08/21,149592,99.35555555555555,3259.0185185185187,2.5555555555555554,18,低売上日
2025/08/22,172827,87.38950617283952,2583.45987654321,2.4814814814814814,27,低売上日
2025/08/23,198323,82.67380952380952,2946.435119047619,2.392857142857143,28,高売上日
2025/08/24,146233,74.77045454545454,2976.939393939394,2.272727272727273,22,低売上日
2025/08/25,199382,93.2268115942029,3260.3282608695654,2.6956521739130435,23,高売上日
2025/08/26,172210,85.11590909090908,3127.75,2.4545454545454546,22,低売上日
