business_date,entry_16_bucket,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_total,day_sales_category
2025/07/27,16時以降入店,85.06290322580645,2939.7274193548387,2.4516129032258065,31,282788,高売上日
2025/07/27,16時前入店,83.25606060606061,3389.3636363636365,1.7272727272727273,11,282788,高売上日
2025/07/28,16時以降入店,89.70119047619048,4299.95,2.4285714285714284,14,132030,低売上日
2025/07/28,16時前入店,79.68333333333334,4151.0,2.0,1,132030,低売上日
2025/07/29,16時以降入店,106.77654320987655,4238.0230158730155,2.2222222222222223,27,248574,高売上日
2025/07/29,16時前入店,71.2,2879.7,1.2,5,248574,高売上日
2025/07/30,16時以降入店,90.35882352941177,2952.2843137254904,2.0588235294117645,17,121045,低売上日
2025/07/30,16時前入店,71.2,2542.3333333333335,2.0,3,121045,低売上日
2025/07/31,16時以降入店,103.72604166666667,2983.9470238095237,3.375,16,162508,低売上日
2025/07/31,16時前入店,67.21666666666667,2913.0,1.0,1,162508,低売上日
2025/08/01,16時以降入店,85.65,2993.2345238095236,2.75,20,178627,低売上日
2025/08/01,16時前入店,161.82777777777778,2264.8333333333335,2.6666666666666665,3,178627,低売上日
2025/08/02,16時以降入店,85.23209876543211,2989.3425925925926,2.3703703703703702,27,203426,高売上日
2025/08/02,16時前入店,86.75833333333333,2723.3333333333335,1.5,6,203426,高売上日
2025/08/03,16時以降入店,96.39597701149424,2918.473932676519,2.7241379310344827,29,272431,高売上日
2025/08/03,16時前入店,105.96333333333332,3009.6,2.4,5,272431,高売上日
2025/08/04,16時以降入店,75.7036231884058,2942.1644927536227,2.347826086956522,23,172991,低売上日
2025/08/04,16時前入店,72.29166666666667,1331.625,3.0,2,172991,低売上日
2025/08/05,16時以降入店,90.25641025641025,3498.0705128205127,2.3076923076923075,26,208124,高売上日
2025/08/05,16時前入店,44.85,1511.5,2.0,1,208124,高売上日
2025/08/06,16時以降入店,89.95933333333332,3153.606666666667,2.28,25,185402,低売上日
2025/08/06,16時前入店,59.28333333333333,3127.25,4.0,1,185402,低売上日
2025/08/07,16時以降入店,89.33157894736841,2588.9476608187138,3.263157894736842,19,176368,低売上日
2025/08/07,16時前入店,48.96666666666667,2055.5,2.0,1,176368,低売上日
2025/08/08,16時以降入店,96.94015151515151,4028.482575757576,2.6818181818181817,22,254440,高売上日
2025/08/08,16時前入店,62.508333333333326,4107.5,1.5,2,254440,高売上日
2025/08/09,16時以降入店,94.26474358974359,3074.103846153846,2.6538461538461537,26,232119,高売上日
2025/08/09,16時前入店,77.08888888888889,5336.833333333333,1.3333333333333333,3,232119,高売上日
2025/08/10,16時以降入店,99.78148148148148,3331.0,2.4444444444444446,18,176583,低売上日
2025/08/10,16時前入店,144.5625,3817.25,2.0,4,176583,低売上日
2025/08/11,16時以降入店,96.43416666666667,3054.2091666666665,2.55,20,211737,高売上日
2025/08/11,16時前入店,87.50833333333334,2921.5333333333333,2.2,10,211737,高売上日
2025/08/12,16時以降入店,76.43529411764706,3035.4210784313727,2.4705882352941178,17,141516,低売上日
2025/08/12,16時前入店,65.08333333333333,2153.5555555555557,3.3333333333333335,3,141516,低売上日
2025/08/13,16時以降入店,90.68571428571428,3034.4103174603174,2.238095238095238,21,187746,低売上日
2025/08/13,16時前入店,65.64047619047619,3257.8214285714284,1.7142857142857142,7,187746,低売上日
2025/08/14,16時以降入店,87.01349206349207,3348.609523809524,2.4761904761904763,21,207223,高売上日
2025/08/14,16時前入店,65.04333333333334,2563.9666666666667,2.2,5,207223,高売上日
2025/08/15,16時以降入店,84.5731884057971,2902.9202898550725,2.347826086956522,23,169196,低売上日
2025/08/15,16時前入店,44.025,2185.0,1.75,4,169196,低売上日
2025/08/16,16時以降入店,89.59285714285714,2837.6815476190473,2.25,28,194463,高売上日
2025/08/16,16時前入店,66.72916666666667,2094.3125,2.0,4,194463,高売上日
2025/08/17,16時以降入店,75.52066666666667,3225.623333333333,2.32,25,235985,高売上日
2025/08/17,16時前入店,68.27833333333334,2669.583333333333,2.3,10,235985,高売上日
2025/08/18,16時以降入店,106.39907407407408,2701.7691798941796,3.3333333333333335,18,203386,高売上日
2025/08/18,16時前入店,92.82857142857142,2589.714285714286,1.8571428571428572,7,203386,高売上日
2025/08/19,16時以降入店,93.84561403508772,3125.4868421052633,2.526315789473684,19,151997,低売上日
2025/08/19,16時前入店,49.38333333333333,2066.5,1.5,2,151997,低売上日
2025/08/20,16時以降入店,92.49318181818181,3367.1242424242428,2.4545454545454546,22,187115,低売上日
2025/08/20,16時前入店,88.225,1701.5,2.0,2,187115,低売上日
2025/08/21,16時以降入店,100.23235294117647,3254.166666666667,2.588235294117647,17,149592,低売上日
2025/08/21,16時前入店,84.45,3341.5,2.0,1,149592,低売上日
2025/08/22,16時以降入店,99.65396825396826,2746.519841269841,2.5238095238095237,21,172827,低売上日
2025/08/22,16時前入店,44.46388888888888,2012.75,2.3333333333333335,6,172827,低売上日
2025/08/23,16時以降入店,83.2871212121212,2880.140909090909,2.3636363636363638,22,198323,高売上日
2025/08/23,16時前入店,80.425,3189.5138888888887,2.5,6,198323,高売上日
2025/08/24,16時以降入店,75.56666666666668,2895.190476190476,2.0714285714285716,14,146233,低売上日
2025/08/24,16時前入店,73.37708333333333,3120.0,2.625,8,146233,低売上日
2025/08/25,16時以降入店,93.38333333333334,3165.343181818182,2.727272727272727,22,199382,高売上日
2025/08/25,16時前入店,89.78333333333333,5350.0,2.0,1,199382,高売上日
2025/08/26,16時以降入店,87.85238095238095,3163.0238095238096,2.4761904761904763,21,172210,低売上日
2025/08/26,16時前入店,27.65,2387.0,2.0,1,172210,低売上日
2025/08/27,16時以降入店,102.06309523809524,3920.809523809524,2.0,14,107834,低売上日
2025/08/27,16時前入店,74.51666666666667,1895.0,2.0,1,107834,低売上日
2025/08/28,16時以降入店,106.56,3574.854444444444,3.4,15,191071,低売上日
2025/08/28,16時前入店,59.59166666666667,1589.1666666666665,2.5,2,191071,低売上日
2025/08/29,16時以降入店,101.54310344827586,4540.143678160919,2.2413793103448274,29,330059,高売上日
2025/08/29,16時前入店,83.94500000000001,3209.8,1.8,10,330059,高売上日
2025/08/30,16時以降入店,98.2015625,2939.5260416666665,2.4375,32,256267,高売上日
2025/08/30,16時前入店,66.29666666666667,2966.3666666666663,2.0,5,256267,高売上日
2025/08/31,16時以降入店,75.2388888888889,3086.4914965986395,2.2857142857142856,21,225258,高売上日
2025/08/31,16時前入店,92.75740740740741,2845.9333333333334,2.888888888888889,9,225258,高売上日
2025/09/01,16時以降入店,91.36282051282052,2795.976923076923,2.923076923076923,13,136570,低売上日
2025/09/01,16時前入店,124.44444444444444,2827.3333333333335,1.6666666666666667,3,136570,低売上日
2025/09/02,16時以降入店,92.81018518518518,3121.0740740740744,2.2777777777777777,18,130185,低売上日
2025/09/02,16時前入店,76.61666666666666,2830.6666666666665,2.0,2,130185,低売上日
2025/09/03,16時以降入店,107.27352941176471,3571.794117647059,2.4705882352941178,17,139779,低売上日
2025/09/04,16時以降入店,100.64019607843137,3122.365546218487,2.823529411764706,17,118246,低売上日
2025/09/05,16時以降入店,105.1843137254902,3673.1148459383753,2.5294117647058822,17,159636,低売上日
2025/09/05,16時前入店,72.8,3696.0,1.0,1,159636,低売上日
