月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
7,19時台,31.0,13.258064516129032,30.0,27.4,14.141935483870967,9
7,20時台,31.0,15.741935483870968,30.0,25.966666666666665,10.224731182795697,10
7,21時台,31.0,14.580645161290322,30.0,13.9,-0.6806451612903217,11
7,22時以降,26.0,8.0,,,,12
8,11時台,31.0,16.451612903225808,31.0,22.0,5.548387096774192,1
8,12時台,31.0,31.322580645161292,31.0,27.93548387096774,-3.3870967741935516,2
8,13時台,31.0,19.64516129032258,31.0,19.774193548387096,0.12903225806451601,3
8,14時台,30.0,12.266666666666667,31.0,14.774193548387096,2.5075268817204286,4
8,15時台,31.0,8.161290322580646,31.0,9.419354838709678,1.258064516129032,5
8,16時台,31.0,4.806451612903226,31.0,8.870967741935484,4.064516129032258,6
8,17時台,31.0,6.516129032258065,31.0,10.709677419354838,4.193548387096773,7
8,18時台,30.0,9.966666666666667,31.0,19.0,9.033333333333333,8
8,19時台,30.0,13.2,31.0,27.774193548387096,14.574193548387097,9
8,20時台,30.0,13.466666666666667,31.0,22.870967741935484,9.404301075268817,10
8,21時台,30.0,11.5,31.0,11.387096774193548,-0.11290322580645196,11
8,22時以降,25.0,8.84,,,,12
9,11時前,2.0,1.0,1.0,1.0,0.0,0
9,11時台,30.0,17.166666666666668,22.0,22.59090909090909,5.424242424242422,1
9,12時台,30.0,30.133333333333333,22.0,30.5,0.36666666666666714,2
9,13時台,30.0,20.333333333333332,22.0,22.863636363636363,2.530303030303031,3
9,14時台,30.0,10.633333333333333,22.0,12.727272727272727,2.0939393939393938,4
9,15時台,29.0,5.862068965517241,22.0,10.454545454545455,4.592476489028214,5
9,16時台,28.0,4.964285714285714,22.0,8.727272727272727,3.762987012987012,6
9,17時台,29.0,5.724137931034483,22.0,9.090909090909092,3.3667711598746086,7
9,18時台,30.0,10.866666666666667,22.0,20.045454545454547,9.17878787878788,8
9,19時台,30.0,12.4,22.0,23.318181818181817,10.918181818181816,9
9,20時台,30.0,12.866666666666667,22.0,21.272727272727273,8.406060606060606,10
9,21時台,30.0,10.966666666666667,22.0,10.590909090909092,-0.37575757575757507,11
9,22時以降,23.0,8.91304347826087,,,,12
10,11時前,1.0,1.0,,,,0
10,11時台,31.0,15.516129032258064,31.0,24.93548387096774,9.419354838709676,1
10,12時台,31.0,31.838709677419356,31.0,34.58064516129032,2.7419354838709644,2
10,13時台,31.0,19.225806451612904,31.0,24.967741935483872,5.741935483870968,3
10,14時台,31.0,9.96774193548387,31.0,14.161290322580646,4.193548387096776,4
10,15時台,31.0,7.516129032258065,31.0,10.290322580645162,2.774193548387097,5
10,16時台,28.0,5.214285714285714,31.0,10.258064516129032,5.043778801843318,6
10,17時台,31.0,5.67741935483871,31.0,12.03225806451613,6.35483870967742,7
10,18時台,31.0,10.741935483870968,31.0,21.806451612903224,11.064516129032256,8
10,19時台,31.0,13.096774193548388,31.0,24.677419354838708,11.58064516129032,9
10,20時台,30.0,14.166666666666666,31.0,24.387096774193548,10.220430107526882,10
10,21時台,30.0,11.9,31.0,11.161290322580646,-0.7387096774193544,11
10,22時以降,26.0,8.192307692307692,,,,12
11,11時前,1.0,4.0,1.0,1.0,-3.0,0
11,11時台,30.0,14.5,30.0,23.0,8.5,1
11,12時台,30.0,27.066666666666666,30.0,33.2,6.133333333333336,2
11,13時台,30.0,14.766666666666667,30.0,24.333333333333332,9.566666666666665,3
11,14時台,30.0,9.0,30.0,14.766666666666667,5.7666666666666675,4
11,15時台,30.0,5.4,30.0,12.533333333333333,7.133333333333333,5
11,16時台,27.0,5.2592592592592595,30.0,10.033333333333333,4.774074074074074,6
11,17時台,29.0,5.172413793103448,30.0,13.8,8.627586206896552,7
11,18時台,30.0,7.733333333333333,30.0,20.966666666666665,13.23333333333333,8
11,19時台,30.0,11.0,30.0,23.766666666666666,12.766666666666666,9
11,20時台,30.0,11.966666666666667,30.0,23.066666666666666,11.1,10
11,21時台,30.0,11.4,30.0,11.033333333333333,-0.36666666666666714,11
11,22時以降,24.0,7.416666666666667,,,,12
12,11時前,,,2.0,1.0,,0
12,11時台,30.0,13.366666666666667,22.0,24.136363636363637,10.76969696969697,1
12,12時台,30.0,24.3,22.0,34.22727272727273,9.927272727272726,2
12,13時台,30.0,13.866666666666667,22.0,23.681818181818183,9.815151515151516,3
12,14時台,30.0,8.366666666666667,22.0,13.136363636363637,4.7696969696969695,4
12,15時台,29.0,4.310344827586207,22.0,8.181818181818182,3.8714733542319744,5
12,16時台,27.0,3.185185185185185,22.0,7.954545454545454,4.769360269360269,6
12,17時台,22.0,4.318181818181818,22.0,10.5,6.181818181818182,7
12,18時台,29.0,6.862068965517241,22.0,17.90909090909091,11.047021943573668,8
12,19時台,30.0,10.9,22.0,26.363636363636363,15.463636363636363,9
12,20時台,29.0,7.551724137931035,21.0,24.19047619047619,16.638752052545154,10
12,21時台,27.0,9.0,21.0,10.476190476190476,1.4761904761904763,11
12,22時以降,23.0,6.086956521739131,,,,12
