取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260304200836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,招待日和コース(食事のみ)+チャージ別＋サ別,10000,3
RB0120260304200836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260304214729000,2026/03/05,08:29:54,7590,7590,,,7590,,,,,,,,,,,,,,,,,,,,2,4,00:00:00,,,,,,,
RB0120260304214729000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260304214729000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
RB0120260304214729000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260304214729000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,"サングリア赤　1,800円",1800,1
RB0120260304225621000,2026/03/05,08:43:38,18170,18170,,,18170,,,,,,,,,,,,,,,,,,,,4,4,00:00:00,,,,,,,
RB0120260304225621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,4
RB0120260304225621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ハートランド,1000,2
RB0120260304225621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260304225621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日本酒,作,1700,6
000120260305212955082,2026/03/06,06:29:56,11000,11000,,,11000,,,,,,,,,,,,,,,,,,,,1,1,00:00:00,,,,,,,
000120260305212955082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,その他CLPコース,5500,2
RB0120260305183618000,2026/03/06,06:32:02,16500,16500,,,16500,,,,,,,,,,,,,,,,,,,,4,1,00:00:00,,,,,,,
RB0120260305183618000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,コース&セット,その他CLPコース,5500,3
RB0120260305201440000,2026/03/06,07:15:19,5060,5060,,,5060,,,,,,,,,,,,,,,,,,,,2,2,00:00:00,,,,,,,
RB0120260305201440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260305201440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ビアンコ,1200,3
