menu_name,category,sales,qty,accts,構成比%,出現率%,period
ピスコのネグローニ,オリジナルカクテル,46500.0,31,26,2.02,13.9,YoY (2025/4/1-4/18)
ガージェリー,ビール,41600.0,32,16,1.81,8.6,YoY (2025/4/1-4/18)
ロートシルト・ファッションド,オリジナルカクテル,37800.0,21,20,1.64,10.7,YoY (2025/4/1-4/18)
山崎12年,ウイスキー,35000.0,10,5,1.52,2.7,YoY (2025/4/1-4/18)
黒板メニュー　その他,黒板メニュー,31000.0,23,14,1.35,7.5,YoY (2025/4/1-4/18)
デバルド・ビアンコ,ワイン,27400.0,14,12,1.19,6.4,YoY (2025/4/1-4/18)
マッカラン12年,ウイスキー,27000.0,11,6,1.17,3.2,YoY (2025/4/1-4/18)
チーズ盛り合わせ,アラカルト,24000.0,12,12,1.04,6.4,YoY (2025/4/1-4/18)
ラフロイグ10年,ウイスキー,23800.0,14,6,1.03,3.2,YoY (2025/4/1-4/18)
パナメラ・カルベネ・ソーヴィニョン,ワイン,23200.0,10,6,1.01,3.2,YoY (2025/4/1-4/18)
タパス,黒板メニュー,20800.0,28,24,0.9,12.8,YoY (2025/4/1-4/18)
知多,ウイスキー,20400.0,12,10,0.89,5.3,YoY (2025/4/1-4/18)
黒板メニュー　パスタ,黒板メニュー,20400.0,12,11,0.89,5.9,YoY (2025/4/1-4/18)
生チョコレート,バースナック,20000.0,20,12,0.87,6.4,YoY (2025/4/1-4/18)
ノンアルコールカクテル,カクテル,18500.0,15,11,0.8,5.9,YoY (2025/4/1-4/18)
