menu_name,sales,qty,accts,period
ジョニーウォーカー ブラックラベル,2400.0,2,1,Before同窓 (3/1-3/18)
ジョニーウォーカー ブラックルビー,1500.0,1,1,Before同窓 (3/1-3/18)
ジン,1400.0,1,1,Before同窓 (3/1-3/18)
ジンジャーエール,1600.0,2,2,Before同窓 (3/1-3/18)
スパークリング,6000.0,5,1,Before同窓 (3/1-3/18)
スプリングバンク 10年,1800.0,1,1,Before同窓 (3/1-3/18)
セイロンバックスフィズ,18100.0,12,10,Before同窓 (3/1-3/18)
ソフトドリンク,2400.0,3,1,Before同窓 (3/1-3/18)
タリスカー10年,2800.0,2,2,Before同窓 (3/1-3/18)
タンカレー,1200.0,1,1,Before同窓 (3/1-3/18)
ダルモア 12年,10200.0,6,2,Before同窓 (3/1-3/18)
チーズ盛り合わせ,8800.0,4,4,Before同窓 (3/1-3/18)
デバルド・ビアンコ,14400.0,12,6,Before同窓 (3/1-3/18)
デバルド・ロッソ,9600.0,8,4,Before同窓 (3/1-3/18)
デュワーズ 12年,1300.0,1,1,Before同窓 (3/1-3/18)
トマトのカプレーゼ,9000.0,6,6,Before同窓 (3/1-3/18)
ドライフルーツ,4000.0,4,4,Before同窓 (3/1-3/18)
ドリンク,20400.0,17,7,Before同窓 (3/1-3/18)
ドンフリオ　ブランコ,4500.0,3,1,Before同窓 (3/1-3/18)
ナヴィゲーター シャルドネ,6600.0,1,1,Before同窓 (3/1-3/18)
ニッカ シングルブランデー 弘前,1900.0,1,1,Before同窓 (3/1-3/18)
ハウスハイボール,79300.0,61,18,Before同窓 (3/1-3/18)
ハートランド,15000.0,15,6,Before同窓 (3/1-3/18)
ハーバルウォッカトニック,1800.0,1,1,Before同窓 (3/1-3/18)
バレルエイジドジン,12600.0,7,1,Before同窓 (3/1-3/18)
バースデープレート,3000.0,2,2,Before同窓 (3/1-3/18)
バーニャカウダ,3000.0,3,3,Before同窓 (3/1-3/18)
パナメラ シャルドネ,8800.0,1,1,Before同窓 (3/1-3/18)
パナメラ・カルベネ・ソーヴィニョン,16000.0,10,6,Before同窓 (3/1-3/18)
パナメラ・シャルドネ,6400.0,4,2,Before同窓 (3/1-3/18)
パプリカ詰めオリーブ,2000.0,2,2,Before同窓 (3/1-3/18)
ビーフジャーキー,2000.0,2,2,Before同窓 (3/1-3/18)
フィーバーツリーソーダ,800.0,1,1,Before同窓 (3/1-3/18)
フレンチフライ,13000.0,13,8,Before同窓 (3/1-3/18)
フード,1800.0,1,1,Before同窓 (3/1-3/18)
ブルスケッタ,5000.0,5,5,Before同窓 (3/1-3/18)
プレミアムハウスハイボール,6000.0,3,2,Before同窓 (3/1-3/18)
ヘンリーマッケナ,2400.0,2,1,Before同窓 (3/1-3/18)
ヘーゼルナッツラテ,1300.0,1,1,Before同窓 (3/1-3/18)
ボウモア12年,9600.0,6,3,Before同窓 (3/1-3/18)
ボトルワイン,24000.0,3,2,Before同窓 (3/1-3/18)
マッカランシェリーカスク12年,3000.0,1,1,Before同窓 (3/1-3/18)
マルゲリータ,14400.0,8,3,Before同窓 (3/1-3/18)
メーカーズマーク,1400.0,1,1,Before同窓 (3/1-3/18)
ラザニア,12800.0,8,6,Before同窓 (3/1-3/18)
ラフロイグ10年,5100.0,3,3,Before同窓 (3/1-3/18)
ローター・トラウベンモスト,1200.0,1,1,Before同窓 (3/1-3/18)
丸氷,2800.0,28,10,Before同窓 (3/1-3/18)
余市,1800.0,1,1,Before同窓 (3/1-3/18)
作,10200.0,6,1,Before同窓 (3/1-3/18)
前菜の盛り合わせ,14400.0,8,5,Before同窓 (3/1-3/18)
唐揚げ,10700.0,8,6,Before同窓 (3/1-3/18)
季の美,7300.0,5,3,Before同窓 (3/1-3/18)
山崎,2500.0,1,1,Before同窓 (3/1-3/18)
