取引No,来店日,来店時間,会計日,会計時間,合計,合計（10%標準）,合計（8%軽減）,合計（8%標準）,合計（非課税）,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,金券内訳,楽天Pay,出前館売掛,Uber売掛,Go to売掛,その他売掛,まとめ買い割引(税込),まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
000320250903182600570,2025/09/03,18:32:37,2025/09/03,18:32:37,2710,0,2710,0,0,2710,200,0,2710,200,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,1,1,00:00:00,"伝票00036166",0003,"サジャニン","未設定",FF97D90D30D8413D8A4E2FA26CB1C1B2,"未設定","カスタム商品(食品)","","",2710,1,0,0,-,0,0,0,0,2710,0,0,0,"",0,0,0,0
000320250903182537853,2025/09/03,19:06:56,2025/09/03,19:06:56,4374,0,4374,0,0,4050,324,0,4374,324,0,0,0,0,0,4374,0,0,0,0,0,0,0,0,0,0,0,1,2,00:00:00,"伝票00036165",0003,"サジャニン","未設定",7737135E89AF461997A84C98639C3153,"テイクアウト","チーズボール T.O","","",750,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250903182537853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737135E89AF461997A84C98639C3153,"テイクアウト","NENEハーフ&ハーフ骨なし T.O","通常","",3300,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903192525725,2025/09/03,19:25:37,2025/09/03,19:25:37,2930,0,2930,0,0,2930,217,0,2930,217,0,0,0,0,0,0,0,0,0,0,0,2930,0,0,0,0,0,1,1,00:00:00,"伝票00036167",0003,"サジャニン","未設定",F0B8D537E42349D0B43B7C76E953C645,"未設定","カスタム商品(食品)","","",2930,1,0,0,-,0,0,0,0,2930,0,0,0,"",0,0,0,0
000320250903192542808,2025/09/03,19:26:03,2025/09/03,19:26:03,3410,0,3410,0,0,3410,252,0,3410,252,0,0,0,0,0,0,0,0,0,0,0,3410,0,0,0,0,0,1,1,00:00:00,"伝票00036168",0003,"サジャニン","未設定",7F8DFEBB18434AD6BA7E4F502471C095,"未設定","カスタム商品(食品)","","",3410,1,0,0,-,0,0,0,0,3410,0,0,0,"",0,0,0,0
000320250903192608271,2025/09/03,19:26:18,2025/09/03,19:26:18,4320,0,4320,0,0,4320,320,0,4320,320,0,0,0,0,0,0,0,0,0,0,0,4320,0,0,0,0,0,1,1,00:00:00,"伝票00036169",0003,"サジャニン","未設定",604FBF7290D1434C95F127F8C021BC32,"未設定","カスタム商品(食品)","","",4320,1,0,0,-,0,0,0,0,4320,0,0,0,"",0,0,0,0
000320250903192623534,2025/09/03,19:26:32,2025/09/03,19:26:32,3400,0,3400,0,0,3400,251,0,3400,251,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,1,1,00:00:00,"伝票00036170",0003,"サジャニン","未設定",A10E20476E2B4E408CE9D22B31A5C9F2,"未設定","カスタム商品(食品)","","",3400,1,0,0,-,0,0,0,3400,0,0,0,0,"",0,0,0,0
000320250903193313508,2025/09/03,20:12:25,2025/09/03,20:12:25,6810,0,6810,0,0,6810,504,0,6810,504,0,0,0,0,0,0,0,0,0,0,0,6810,0,0,0,0,0,1,1,00:00:00,"伝票00036172",0003,"サジャニン","未設定",03D2C682CDE14476AB81D96BE64AD259,"未設定","カスタム商品(食品)","","",6810,1,0,0,-,0,0,0,0,6810,0,0,0,"",0,0,0,0
000320250903201344839,2025/09/03,20:14:05,2025/09/03,20:14:05,540,0,540,0,0,500,40,0,540,40,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00036173",0003,"サジャニン","未設定",E13F379E0E93490CBBE6FDA9CFF7406B,"テイクアウト","チーズハットク T.O","","",500,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
000320250903201409651,2025/09/03,20:14:26,2025/09/03,20:14:26,1200,0,1200,0,0,1112,88,0,1200,88,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00036174",0003,"サジャニン","未設定",FE3B70BEE45A4B2598A1E199F301E2A4,"テイクアウト","チーズキンパ T.O","","",1112,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
