予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260319 19:38:16,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,2030,2200,お席のみのご予約,,,2,HPG即,D個室1,SDE236344,100,,,,,
20260319 19:45:30,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,2005,2135,,,,2,,A1,,,,,,,
20260319 20:55:03,顧客キャンセル,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1930,2100,お席のみのご予約,,,2,HPG即,B4,SDE250294,0,,,,,
20260319 21:01:52,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,2100,2230,,,,2,,A5,,,,,,,
20260319 23:43:58,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1300,1430,お席のみのご予約,,100,2,HPG即,A1,SDE277764,20,,,,,
20260320 09:45:51,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260321,1900,2045,お席のみのご予約,,,7,HPG即,"B3, B4",SDE297844,350,,,,,
20260320 11:33:38,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1135,1305,,,,2,,A5,,,,,,,
20260320 11:33:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1135,1305,,,,1,,A4,,,,,,,
20260320 11:34:03,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1330,1500,,,,2,,D個室1,,,,,,,
20260320 11:36:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1140,1310,,,,3,,D個室1,,,,,,,
20260320 11:59:55,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1155,1325,,,,2,,B1,,,,,,,
20260320 12:00:56,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1830,2000,お席のみのご予約,,,3,HPG即,A3,SDE310375,150,,"親子3人
あとで予約にきずいた
星
b1のかた",,,
20260320 12:05:42,退店,ホームページ予約ツール,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260325,1930,2100,お席のみのご予約,,,2,HPDS即,D個室1,SDE312542,,,,,,
20260320 12:18:06,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260322,1900,2030,お席のみのご予約,,,2,HPG即,A3,SDE315601,100,,,,,
20260320 12:49:23,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260320,1255,1425,,,,2,,A4,,,,,,,
