商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
ドリンク,お茶割,緑茶ハイ,00000000121,430,228,98040,4,16,10,9,31,34,25,23,32,26,11,7,1720,6880,4300,3870,13330,14620,10750,9890,13760,11180,4730,3010
ドリンク,梅酒,すっきり梅酒,00000000131,450,216,97200,0,16,6,6,21,19,18,17,28,42,24,19,0,7200,2700,2700,9450,8550,8100,7650,12600,18900,10800,8550
フード,おつまみ,胡瓜のたたき,00000000026,380,240,91200,2,17,21,29,27,23,18,21,33,21,16,12,760,6460,7980,11020,10260,8740,6840,7980,12540,7980,6080,4560
ドリンク,梅酒,山崎梅酒,00000000129,480,190,91200,4,3,2,30,30,41,47,26,4,3,0,0,1920,1440,960,14400,14400,19680,22560,12480,1920,1440,0,0
ドリンク,ビール,ザ・プレミアム・モルツ,00000000229,700,130,91000,0,7,12,11,13,9,19,13,16,10,15,5,0,4900,8400,7700,9100,6300,13300,9100,11200,7000,10500,3500
ドリンク,日本酒,八海山,00000000124,780,112,87360,0,13,7,13,10,7,15,3,20,8,3,13,0,10140,5460,10140,7800,5460,11700,2340,15600,6240,2340,10140
コース,コース,牛もつ鍋一人前,00000000247,1380,63,86940,0,15,6,18,11,11,2,0,0,0,0,0,0,20700,8280,24840,15180,15180,2760,0,0,0,0,0
ドリンク,サワー,梅干しサワー,00000000116,430,191,83810,3,13,17,12,15,21,18,16,24,22,17,13,1290,5590,7310,5160,6450,9030,7740,7040,10800,9900,7650,5850
フード,サラダ,ししゃも大葉巻き,00000000365,880,95,83600,0,0,15,34,33,13,0,0,0,0,0,0,0,0,13200,29920,29040,11440,0,0,0,0,0,0
ドリンク,ハイボール,知多ハイボール,00000000105,850,98,83300,1,8,4,6,9,4,4,14,19,17,9,3,850,6800,3400,5100,7650,3400,3400,11900,16150,14450,7650,2550
フード,おつまみ,胡瓜一本漬け,00000000025,380,217,82460,2,25,13,18,30,18,19,30,27,16,15,4,760,9500,4940,6840,11400,6840,7220,11400,10260,6080,5700,1520
ドリンク,焼酎,麦)中々,00000000144,550,149,81950,3,7,6,10,8,23,13,16,15,17,13,18,1650,3850,3300,5500,4400,12650,7150,8800,8250,9350,7150,9900
ドリンク,日本酒,酔鯨,00000000126,780,104,81120,0,6,9,15,25,5,14,4,7,8,11,0,0,4680,7020,11700,19500,3900,10920,3120,5460,6240,8580,0
フード,デザート,チーズケーキ,00000000074,480,157,77080,0,1,8,11,13,17,19,21,27,17,12,11,0,480,5560,5280,6240,8160,9120,10080,12960,8160,5760,5280
フード,サラダ,点心三種盛り,00000000425,580,131,75980,0,0,0,0,0,16,32,23,29,14,8,9,0,0,0,0,0,9280,18560,13340,16820,8120,4640,5220
フード,焼き物,子持ちししゃも,00000000049,580,129,74820,1,6,4,7,5,20,19,16,19,13,9,10,580,3480,2320,4060,2900,11600,11020,9280,11020,7540,5220,5800
フード,馬刺し,桜ユッケ,00000000084,780,92,71760,2,10,3,10,13,23,10,12,3,1,5,0,1560,7800,2340,7800,10140,17940,7800,9360,2340,780,3900,0
ドリンク,マッコリ,マッコリボトル,00000000160,2300,31,71300,0,3,0,0,1,2,3,5,15,0,1,1,0,6900,0,0,2300,4600,6900,11500,34500,0,2300,2300
ドリンク,焼酎,芋)富乃宝山,00000000146,550,129,70950,0,12,5,20,30,17,7,5,13,8,6,6,0,6600,2750,11000,16500,9350,3850,2750,7150,4400,3300,3300
フード,おつまみ,冷やしトマト,00000000027,420,166,69720,0,17,8,20,20,13,16,14,24,17,11,6,0,7140,3360,8400,8400,5460,6720,5880,10080,7140,4620,2520
ドリンク,サワー,ジノンレモンサワー,00000000443,460,151,69460,0,0,0,0,0,0,14,42,28,15,21,31,0,0,0,0,0,0,6440,19320,12880,6900,9660,14260
ドリンク,ソフトドリンク,コーラ,00000000166,350,194,67900,2,8,8,17,15,17,23,17,23,28,25,11,700,2800,2800,5950,5250,5950,8050,5950,8050,9800,8750,3850
フード,逸品料理,シユマイ,00000000422,680,99,67320,0,0,0,0,0,23,18,13,16,9,15,5,0,0,0,0,0,15640,12240,8840,10880,6120,10200,3400
フード,サラダ,エビとプチトマトのゴヒージョ,00000000444,1080,62,67300,0,0,0,0,0,0,9,5,7,13,21,7,0,0,0,0,0,0,9720,5400,7560,14040,22880,7700
ドリンク,ハイボール,碧ハイボール,00000000109,850,76,64600,0,4,1,9,4,3,6,18,10,14,7,0,0,3400,850,7650,3400,2550,5100,15300,8500,11900,5950,0
フード,食事,焼きうどん,00000000067,780,81,63180,5,12,8,10,23,6,5,2,4,2,3,1,3900,9360,6240,7800,17940,4680,3900,1560,3120,1560,2340,780
フード,刺身,お任せ3点盛り合わせ,00000000189,1080,58,62640,2,2,7,11,11,5,7,2,5,2,3,1,2160,2160,7560,11880,11880,5400,7560,2160,5400,2160,3240,1080
