month_num,product,delta_sales_per_customer,sales_per_customer_2024,sales_per_customer_2025
4,その他 690,0.37,0.0,0.37
4,生わさびと二段熟成生醤油,1.22,0.0,1.22
4,ほぼ倍 ハイボール,4.25,0.0,4.25
4,【追い肉】チキテキ,1.57,0.0,1.57
4,ごちめし(小盛),-0.24,0.24,0.0
4,ごちめしセット(小盛),-7.64,7.64,0.0
4,ねぎじゃこのまぜそば,-40.49,40.49,0.0
4,海老とブロッコリーのアヒージョ,3.31,0.0,3.31
4,スマッシュタワー定食,6.63,0.0,6.63
4,ごちめしセット(並盛),-8.13,8.13,0.0
4,ジンジャーエール,0.45,0.0,0.45
4,無料【追い肉】チキテキ,0.0,0.0,0.0
4,【単品】ビフテキ,6.58,0.0,6.58
4,【OPEN】ビフスマ定食,83.35,0.0,83.35
4,檸檬チキンアヒージョ,1.37,0.0,1.37
4,無料：パクチー,0.0,0.0,0.0
4,フライドガーリック,0.58,0.0,0.58
4,単品グリルチキン,-4.14,4.14,0.0
4,ペプシコーラ,1.46,0.0,1.46
4,【OPEN】ビフチキ定食,32.23,0.0,32.23
4,てりマヨソース,0.16,0.0,0.16
4,パクチーのまぜそば,-35.25,35.25,0.0
4,ジンジャーハイ,0.89,0.0,0.89
4,その他30,0.03,0.0,0.03
4,【無料】ライス大盛,0.0,0.0,0.0
4,トリプルコンボ定食,148.75,0.0,148.75
4,枝豆,2.15,0.0,2.15
4,しる・グリルチキン,-153.53,153.53,0.0
4,メロンソーダ,0.26,0.0,0.26
4,肉専用キャベツ,3.3,0.0,3.3
4,無料【追い肉】スマッシュバーグ,0.0,0.0,0.0
4,サンペレグリノ アランチャーター,-1.78,1.78,0.0
4,【単品】ライス,3.43,0.0,3.43
4,無料：ごち飯小セット,0.0,0.0,0.0
4,レモンサワー,2.12,0.0,2.12
4,てりたまスマッシュバーグ定食,14.35,0.0,14.35
4,その他 100,0.01,0.0,0.01
4,にんにく,-0.31,0.31,0.0
4,ごちめし(大盛),-0.13,0.13,0.0
4,フライドチキン,1.86,0.0,1.86
4,ビフテキ定食 LL,64.79,0.0,64.79
4,ブロッコリー,-1.64,1.64,0.0
4,アサヒ スーパードライ 生ビール,-18.13,18.13,0.0
4,オニオンリングフライ,4.86,0.0,4.86
4,ほぼ倍サイズ 生ビール,17.65,0.0,17.65
4,バゲット追加,0.01,0.0,0.01
4,ビッグサイズ ほぼ倍生ビール,-17.93,17.93,0.0
4,半熟目玉焼き,-0.07,0.07,0.0
4,ごちめしセット(大盛),-4.17,4.17,0.0
4,【OPEN】スマチキ定食,7.18,0.0,7.18
4,持ち帰り容器,-0.01,0.01,0.0
4,ビフテキ定食 M,196.48,0.0,196.48
4,半熟玉子焼,3.15,0.0,3.15
4,しる・パクチー,-58.34,58.34,0.0
4,無料：ごち飯大セット,0.0,0.0,0.0
4,ウーロンハイ,0.07,0.0,0.07
4,麺大盛,-10.68,10.68,0.0
4,マヨネーズ,0.07,0.0,0.07
4,ローストビーフのまぜそば,-88.31,88.31,0.0
4,ドリンクセット,11.01,0.0,11.01
4,グリルチキンのまぜそば,-355.82,355.82,0.0
4,【単品】スマッシュバーグ,2.05,0.0,2.05
4,ビッグサイズ ほぼ倍ハイボール,-2.36,2.36,0.0
4,無料【追い肉】ビフテキ,0.0,0.0,0.0
4,白ワイン,1.05,0.0,1.05
4,チーズスマッシュバーグ定食,42.87,0.0,42.87
4,ビフテキ定食 L,166.03,0.0,166.03
4,チーズチキテキ定食,5.39,0.0,5.39
4,【単品】スープ,0.14,0.0,0.14
4,生ビール,25.92,0.0,25.92
4,スパイシーポークのまぜそば,-70.19,70.19,0.0
4,ねぎマヨチキテキ定食,8.11,0.0,8.11
4,野菜増し,-6.22,6.22,0.0
4,チーズ,-0.93,0.93,0.0
4,半熟卵のシーザーまぜそば,-111.76,111.76,0.0
4,単品ローストビーフ,-3.83,3.83,0.0
4,ライス大盛に変更,0.57,0.0,0.57
4,おろしにんにく,0.56,0.0,0.56
4,トマト＆オニオン,-1.34,1.34,0.0
4,【追い肉】スマッシュバーグ,4.18,0.0,4.18
4,ハイボール,3.63,0.0,3.63
4,スマッシュバーグ定食,28.21,0.0,28.21
4,ごちめし(並盛),-0.17,0.17,0.0
4,【追い肉】ビフテキ,3.18,0.0,3.18
4,なっちゃんオレンジ,0.21,0.0,0.21
4,カップスープ,-1.51,1.51,0.0
4,【単品】チキテキ,1.62,0.0,1.62
4,和えそば,-0.2,0.2,0.0
4,シリシリ,-0.56,0.56,0.0
4,ほぼ倍 コークハイ,0.06,0.0,0.06
4,生卵,-2.76,2.76,0.0
4,ねぎたま,-10.32,10.32,0.0
4,ねぎじゃこ,-0.87,0.87,0.0
4,無料：ごち飯並セット,0.0,0.0,0.0
4,ほぼ倍 ウーロンハイ,0.12,0.0,0.12
4,ウーロン茶,0.19,0.0,0.19
4,黒ウーロン茶,-0.56,0.56,0.0
4,ビフスマ定食,161.75,0.0,161.75
4,メガクランチポテト,11.01,0.0,11.01
4,パクチー,-4.13,4.13,0.0
5,その他 190,0.03,0.0,0.03
5,キティ,0.12,0.0,0.12
5,【肉の日】ビフチキ定食,40.93,0.0,40.93
5,赤ワイン,5.56,0.0,5.56
5,【肉の日】トリプルコンボ定食,21.64,0.0,21.64
5,チキテキ定食,13.97,0.0,13.97
5,【無料】肉専用キャベツ,0.0,0.0,0.0
5,【無料】ハイボール,0.0,0.0,0.0
5,その他 690,1.33,0.0,1.33
5,生わさびと二段熟成生醤油,0.66,0.0,0.66
5,ほぼ倍 ハイボール,4.78,0.0,4.78
5,ごちめし(小盛),-0.17,0.17,0.0
5,ごちめしセット(小盛),-7.29,7.29,0.0
5,ねぎじゃこのまぜそば,-49.63,49.63,0.0
5,ハラミ M,80.59,0.0,80.59
5,海老とブロッコリーのアヒージョ,3.4,0.0,3.4
5,無料【追い肉】チキテキ,0.0,0.0,0.0
5,【単品】ビフテキ,6.45,0.0,6.45
5,檸檬チキンアヒージョ,1.62,0.0,1.62
5,フライドガーリック,0.71,0.0,0.71
5,ペプシコーラ,0.79,0.0,0.79
5,てりマヨソース,0.16,0.0,0.16
5,パクチーのまぜそば,-34.54,34.54,0.0
5,ジンジャーハイ,0.82,0.0,0.82
5,その他30,0.02,0.0,0.02
5,肉専用キャベツ,3.83,0.0,3.83
5,【肉の日】ビフスマ定食,33.48,0.0,33.48
5,サンペレグリノ アランチャーター,-2.09,2.09,0.0
5,【単品】ライス,3.67,0.0,3.67
5,その他 100,0.01,0.0,0.01
5,ハラミ LL,47.44,0.0,47.44
5,ごちめし(大盛),-0.13,0.13,0.0
5,フライドチキン,2.16,0.0,2.16
5,SAKURAスパークリング,1.43,0.0,1.43
5,ビフテキ定食 LL,77.63,0.0,77.63
5,ブロッコリー,-1.71,1.71,0.0
5,アサヒ スーパードライ 生ビール,-20.51,20.51,0.0
5,オニオンリングフライ,4.76,0.0,4.76
5,追い肉 ハラミ,0.82,0.0,0.82
5,ビッグサイズ ほぼ倍生ビール,-15.34,15.34,0.0
5,緑茶ハイ,0.0,0.0,0.0
5,半熟玉子焼,3.12,0.0,3.12
5,しる・パクチー,-54.07,54.07,0.0
5,無料：ごち飯大セット,0.0,0.0,0.0
5,ウーロンハイ,0.62,0.0,0.62
5,ローストビーフのまぜそば,-89.22,89.22,0.0
5,ドリンクセット,12.95,0.0,12.95
5,【単品】スマッシュバーグ,2.84,0.0,2.84
5,ビッグサイズ ほぼ倍ハイボール,-1.62,1.62,0.0
5,無料【追い肉】ビフテキ,0.0,0.0,0.0
5,チーズスマッシュバーグ定食,32.26,0.0,32.26
5,チーズチキテキ定食,5.0,0.0,5.0
5,JJ,0.0,0.0,0.0
5,【単品】スープ,0.08,0.0,0.08
5,自家製レモンサワー,-1.32,1.32,0.0
5,野菜増し,-6.9,6.9,0.0
5,単品ローストビーフ,-2.2,2.2,0.0
5,トマト＆オニオン,-1.17,1.17,0.0
5,ハイボール,4.62,0.0,4.62
5,ごちめし(並盛),-0.16,0.16,0.0
5,なっちゃんオレンジ,0.07,0.0,0.07
5,カップスープ,-1.12,1.12,0.0
5,シリシリ,-0.49,0.49,0.0
5,ほぼ倍 コークハイ,0.32,0.0,0.32
5,ねぎたま,-10.27,10.27,0.0
5,ほぼ倍 ウーロンハイ,0.16,0.0,0.16
5,ビフスマ定食,151.74,0.0,151.74
5,メガクランチポテト,10.76,0.0,10.76
5,ビフチキ定食,156.8,0.0,156.8
5,無料：チーズ,0.0,0.0,0.0
5,どっさりチーズ,1.13,0.0,1.13
5,海老マヨwithブロッコリー,2.76,0.0,2.76
5,ブラックニッカ ハイボール,-2.07,2.07,0.0
5,コークハイ,1.3,0.0,1.3
5,スマチキ定食,29.43,0.0,29.43
5,ほぼ倍 ジンジャーハイ,0.73,0.0,0.73
5,野菜炒め,0.74,0.0,0.74
5,シャンディガフ,1.05,0.0,1.05
5,スパイスチキテキ定食,5.15,0.0,5.15
5,その他 50,0.04,0.0,0.04
5,ほぼ倍 レモンサワー,2.67,0.0,2.67
5,オペレーター,0.25,0.0,0.25
5,【肉の日】スマチキ定食,8.54,0.0,8.54
5,コカ・コーラ,-3.5,3.5,0.0
5,ねぎマヨ,0.49,0.0,0.49
5,ハラミ L,95.98,0.0,95.98
5,【追い肉】チキテキ,2.8,0.0,2.8
5,スマッシュタワー定食,10.53,0.0,10.53
5,ごちめしセット(並盛),-8.28,8.28,0.0
5,ジンジャーエール,0.38,0.0,0.38
5,無料：パクチー,0.0,0.0,0.0
5,単品グリルチキン,-4.31,4.31,0.0
5,トリプルコンボ定食,160.12,0.0,160.12
5,【無料】ライス大盛,0.0,0.0,0.0
5,枝豆,2.23,0.0,2.23
5,しる・グリルチキン,-158.18,158.18,0.0
5,メロンソーダ,0.24,0.0,0.24
5,無料【追い肉】スマッシュバーグ,0.0,0.0,0.0
5,無料：ごち飯小セット,0.0,0.0,0.0
5,レモンサワー,2.07,0.0,2.07
5,てりたまスマッシュバーグ定食,18.58,0.0,18.58
5,にんにく,-0.25,0.25,0.0
5,ほぼ倍サイズ 生ビール,18.99,0.0,18.99
5,バゲット追加,0.02,0.0,0.02
5,アイスコーヒー,0.07,0.0,0.07
5,半熟目玉焼き,-0.03,0.03,0.0
5,ごちめしセット(大盛),-2.69,2.69,0.0
5,持ち帰り容器,-0.01,0.01,0.0
5,ビフテキ定食 M,151.08,0.0,151.08
5,麺大盛,-12.47,12.47,0.0
5,マヨネーズ,0.07,0.0,0.07
5,グリルチキンのまぜそば,-354.73,354.73,0.0
5,白ワイン,0.99,0.0,0.99
5,ビフテキ定食 L,158.37,0.0,158.37
5,生ビール,27.01,0.0,27.01
5,スパイシーポークのまぜそば,-68.09,68.09,0.0
5,ねぎマヨチキテキ定食,6.86,0.0,6.86
5,チーズ,-0.78,0.78,0.0
5,半熟卵のシーザーまぜそば,-107.47,107.47,0.0
5,ライス大盛に変更,0.84,0.0,0.84
5,【追い肉】スマッシュバーグ,8.31,0.0,8.31
5,おろしにんにく,0.55,0.0,0.55
5,スマッシュバーグ定食,29.06,0.0,29.06
5,【追い肉】ビフテキ,5.77,0.0,5.77
5,【単品】チキテキ,2.59,0.0,2.59
5,生卵,-2.43,2.43,0.0
5,黒ウーロンハイ,-0.16,0.16,0.0
5,ねぎじゃこ,-0.57,0.57,0.0
5,無料：ごち飯並セット,0.0,0.0,0.0
5,ウーロン茶,0.21,0.0,0.21
5,黒ウーロン茶,-0.58,0.58,0.0
5,パクチー,-3.06,3.06,0.0
6,ビフチキ定食,146.46,0.0,146.46
6,無料：チーズ,0.0,0.0,0.0
6,キティ,0.76,0.0,0.76
6,赤ワイン,6.56,0.0,6.56
6,どっさりチーズ,1.23,0.0,1.23
6,海老マヨwithブロッコリー,2.32,0.0,2.32
6,ブラックニッカ ハイボール,-3.62,3.62,0.0
6,コークハイ,0.39,0.0,0.39
6,スマチキ定食,26.72,0.0,26.72
6,チキテキ定食,11.27,0.0,11.27
6,【無料】肉専用キャベツ,0.0,0.0,0.0
6,野菜炒め,0.93,0.0,0.93
6,シャンディガフ,0.76,0.0,0.76
6,スパイスチキテキ定食,9.78,0.0,9.78
6,トマトと夏野菜のまぜそば,-90.59,90.59,0.0
6,ほぼ倍 レモンサワー,1.65,0.0,1.65
6,オペレーター,0.25,0.0,0.25
6,【無料】ハイボール,0.0,0.0,0.0
6,コカ・コーラ,-2.36,2.36,0.0
6,ねぎマヨ,0.56,0.0,0.56
6,ハラミ L,157.78,0.0,157.78
6,その他 690,1.16,0.0,1.16
6,ほぼ倍 ハイボール,6.29,0.0,6.29
6,生わさびと二段熟成生醤油,0.62,0.0,0.62
6,【追い肉】チキテキ,5.38,0.0,5.38
6,ごちめし(小盛),-0.31,0.31,0.0
6,ごちめしセット(小盛),-7.74,7.74,0.0
6,ねぎじゃこのまぜそば,-49.93,49.93,0.0
6,ハラミ M,105.03,0.0,105.03
6,海老とブロッコリーのアヒージョ,2.65,0.0,2.65
6,スマッシュタワー定食,15.96,0.0,15.96
6,ごちめしセット(並盛),-8.19,8.19,0.0
6,無料【追い肉】チキテキ,0.0,0.0,0.0
6,【単品】ビフテキ,6.97,0.0,6.97
6,檸檬チキンアヒージョ,0.66,0.0,0.66
6,パクチーと大場のジェノバ風まぜそば,-0.72,0.72,0.0
6,無料：パクチー,0.0,0.0,0.0
6,フライドガーリック,0.5,0.0,0.5
6,単品グリルチキン,-4.91,4.91,0.0
6,ペプシコーラ,1.26,0.0,1.26
6,てりマヨソース,0.11,0.0,0.11
6,パクチーのまぜそば,-25.72,25.72,0.0
6,ジンジャーハイ,0.98,0.0,0.98
6,その他30,0.03,0.0,0.03
6,トリプルコンボ定食,158.77,0.0,158.77
6,【無料】ライス大盛,0.0,0.0,0.0
6,枝豆,2.28,0.0,2.28
6,しる・グリルチキン,-29.12,29.12,0.0
6,メロンソーダ,0.28,0.0,0.28
6,パクチーと大葉のジェノバ風まぜそば,-83.67,83.67,0.0
6,肉専用キャベツ,5.38,0.0,5.38
6,無料【追い肉】スマッシュバーグ,0.0,0.0,0.0
