取引No,元取引No,取引日,取引時間,来店日,来店時間,店舗番号,店舗名,取引種別,レジ番号,レジ担当者番号,レジ担当者名,商品名,バリエーション種別1,バリエーション種別2,販売単位,商品単価,販売分量,商品数,商品合計金額,割引・割増,個別割引・割増金額,単位,個別割引・割増数,個別割引・割増合計金額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額,小計数,小計,外税額,カスタム割引・割増,端数値引,割引調整,合計,内消費税,合計（10%標準）,内消費税（10%標準）,合計（8%標準）,内消費税（8%標準）,合計（8%軽減）,内消費税（8%軽減）,合計（非課税）,クレジットカード(Airペイ タッチ),クレジットカード(Airペイ),現金,iD(Airペイ),交通系電子マネー(Airペイ),UnionPay 銀聯(Airペイ),ポイント(ホットペッパーグルメ),QUICPay(Airペイ),QR決済(Airペイ QR),スマート支払い(ホットペッパーグルメ),QR決済(Airペイ),クレジットカード(オンライン決済),クレジットカード(モバイルオーダー 店外版),ポイント(Airペイ ポイント),クレジットカード/電子マネー(Square),Pontaポイント/リクルートポイント,Apple Pay(Airペイ),お預り金額,おつり金額
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,豚しそ巻き,,,,220,,3,660,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,レタス巻き,,,,280,,4,1120,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,紅生姜巻き,,,,280,,2,560,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,軟骨唐揚げ,,,,580,,1,580,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,冷やしトマト,,,,680,,1,680,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,たこわさ,,,,450,,1,450,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,節ポテト,,,,580,,1,580,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,イカの一夜干し,,,,780,,1,780,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,バターコーン,,,,400,,1,400,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,わさびと食べる紅生姜のだし巻き,,,,580,,1,580,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
