取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260406180508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B1997CD04E14B98879A22A78C7C620C,"JAPANESE COCKTAIL","シルキー麹サワー",1900,1
RB0120260406191008000,2026/04/06,19:42:31,8000,8000,727,0,8000,727,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,00:32:22,"5, 6, 7","大泉",69BE61CE6A924782ABE59120172655DB,"その他","ドリンク",1200,2
RB0120260406191008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69BE61CE6A924782ABE59120172655DB,"その他","tablecharge",600,3
RB0120260406191008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69BE61CE6A924782ABE59120172655DB,"JAPANESE COCKTAIL","シルキー麹サワー",1900,1
RB0120260406191008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69BE61CE6A924782ABE59120172655DB,"JAPANESE COCKTAIL","桜ブロッサム",1900,1
RB0120260406195333000,2026/04/06,19:54:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,00:00:31,"8","大泉",468190EF6A5A4A1E8B858E86103A891E,"未設定","No charge",0,1
RB0120260406195333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468190EF6A5A4A1E8B858E86103A891E,"NEW CLASSIC COCKTAIL","森のジントニック",0,1
RB0120260406183646000,2026/04/06,20:08:33,8300,8300,754,0,8300,754,0,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,01:31:46,"A","大泉",289EC026C9BD4B029D5C693716CD4454,"その他","tablecharge",600,2
RB0120260406183646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289EC026C9BD4B029D5C693716CD4454,"NEW CLASSIC COCKTAIL","カルヴァドスモヒート",1500,1
RB0120260406183646000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289EC026C9BD4B029D5C693716CD4454,"JAPANESE COCKTAIL","桜ブロッサム",1900,1
