予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250907 19:59:04,キャンセル,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2050,2220,,,,2,,D個室1,,,,,,,
20250907 19:59:25,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2055,2225,,,,2,,D個室1,,,,,,,
20250907 20:10:56,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2040,2210,,,,2,,B4,,,,,,,
20250908 00:00:07,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250919,1900,2100,『ハイボール、レモンサワー120分飲み放題付』生サムギョプサルのライトコース!!3300円,3630,,5,HPG即,"A3, A4",SCT763731,250,,,,,
20250909 16:33:16,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250912,1830,2000,お席のみのご予約,,,2,HPG即,A5,SCT902945,100,,,,,
20250909 17:08:44,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,1710,1840,,,,2,,A5,,,,,,,
20250909 17:15:22,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250918,1800,1930,,,,10,,"B1, B2, B3, B4",,,,,,,
20250909 17:38:59,顧客キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250920,1830,2000,,,,6,,D個室1,,,,,,,
20250909 17:40:03,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250913,1830,2100,,,,2,,B3,,,,,,,
20250909 17:45:41,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250918,1800,1930,,,,2,,D個室1,,,,,,,
20250909 17:53:04,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,1750,1920,,,,2,,A3,,,,,,,
20250909 18:36:35,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,1900,2030,,,,2,,A1,,,,,,,
20250909 19:04:49,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,1900,2030,,,,3,,A5,,,,,,,
20250909 19:34:16,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,1930,2100,,,,2,,B4,,,,,,,
20250909 20:27:41,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,2025,2155,,,,3,,B3,,,,,,,
20250909 20:30:46,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,2030,2200,,,,2,,B1,,,,,,,
20250909 20:35:07,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250909,2035,2205,,,,2,,A3,,,,,,,
