取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260411193802000,2026/04/11,22:38:05,10800,10800,,,10800,,,,,,,,,,,,,,,,,,,,3,8,00:00:00,,,,,,,
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,3
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,4
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,タリスカー10年,1400,1
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズウイスキー,イチローズモルト ホワイトラベル,1400,1
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,グレンリベット12年,1400,1
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,ダルモア 12年,1700,1
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,トロピカルヴェール,1500,1
RB0120260411193802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD COCKTAIL,ピーチフィズ,1200,1
RB0120260411220302000,2026/04/11,23:32:25,9500,9500,,,9500,,,,,,,,,,,,,,,,,,,,2,3,00:00:00,,,,,,,
RB0120260411220302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260411220302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,4
RB0120260411220302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN DISHES,ミントのジェノベーゼ,1900,1
RB0120260411223306000,2026/04/11,23:34:36,4600,4600,,,4600,,,,,,,,,,,,,,,,,,,,2,3,00:00:00,,,,,,,
RB0120260411223306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260411223306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,カルヴァドスモヒート,1500,1
RB0120260411223306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPANESE COCKTAIL,桜ブロッサム,1900,1
RB0120260412193309000,2026/04/12,19:55:40,6300,6300,,,6300,,,,,,,,,,,,,,,,,,,,2,5,00:00:00,,,,,,,
RB0120260412193309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,600,2
RB0120260412193309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
